name,genres,year,country,producer,imdb_rating,link
Белая богиня каннибалов,фильм ужасов,1980,Франция,Хесус Франко,3.4,https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%B0%D1%8F_%D0%B1%D0%BE%D0%B3%D0%B8%D0%BD%D1%8F_%D0%BA%D0%B0%D0%BD%D0%BD%D0%B8%D0%B1%D0%B0%D0%BB%D0%BE%D0%B2
Воскрешение из мёртвых,фильм ужасов,1980,Великобритания,Майк Ньюэлл,4.8,"https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%81%D0%BA%D1%80%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B8%D0%B7_%D0%BC%D1%91%D1%80%D1%82%D0%B2%D1%8B%D1%85_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Ад живых мертвецов,фильм ужасов,1980,Италия,Бруно Маттеи,4.9,https://ru.wikipedia.org/wiki/%D0%90%D0%B4_%D0%B6%D0%B8%D0%B2%D1%8B%D1%85_%D0%BC%D0%B5%D1%80%D1%82%D0%B2%D0%B5%D1%86%D0%BE%D0%B2
Аллигатор,ужасы,1980,США,Льюис Тиг,6.1,https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%BB%D0%B8%D0%B3%D0%B0%D1%82%D0%BE%D1%80_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Антропофаг,фильм ужасов,1980,,Джо Д'Амато,5.3,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D1%80%D0%BE%D0%BF%D0%BE%D1%84%D0%B0%D0%B3_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Апокалипсис каннибалов,"фильм ужасов,, ,боевик",1980,Италия,Антонио Маргерити,5.5,https://ru.wikipedia.org/wiki/%D0%90%D0%BF%D0%BE%D0%BA%D0%B0%D0%BB%D0%B8%D0%BF%D1%81%D0%B8%D1%81_%D0%BA%D0%B0%D0%BD%D0%BD%D0%B8%D0%B1%D0%B0%D0%BB%D0%BE%D0%B2
Тихое безумство,"ужасы,триллер",1984,,Саймон Начтерн,5.1,https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%85%D0%BE%D0%B5_%D0%B1%D0%B5%D0%B7%D1%83%D0%BC%D1%81%D1%82%D0%B2%D0%BE
Бугимен,фильм ужасов,1980,США,Улли Ломмель,4.7,"https://ru.wikipedia.org/wiki/%D0%91%D1%83%D0%B3%D0%B8%D0%BC%D0%B5%D0%BD_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1980)"
Франкенштейн-90,"комедия, ,фильм ужасов",1985,Франция,Ален Жессюа,4.5,https://ru.wikipedia.org/wiki/%D0%A4%D1%80%D0%B0%D0%BD%D0%BA%D0%B5%D0%BD%D1%88%D1%82%D0%B5%D0%B9%D0%BD-90
Токсичный мститель,"боевик,чёрная комедия,фильм ужасов,фантастика,супергеройский",1984,США,Ллойд Кауфман,6.2,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BA%D1%81%D0%B8%D1%87%D0%BD%D1%8B%D0%B9_%D0%BC%D1%81%D1%82%D0%B8%D1%82%D0%B5%D0%BB%D1%8C
"Тихая ночь, смертельная ночь",фильм ужасов,1984,США,Чарльз Селлер,5.8,"https://ru.wikipedia.org/wiki/%D0%A2%D0%B8%D1%85%D0%B0%D1%8F_%D0%BD%D0%BE%D1%87%D1%8C,_%D1%81%D0%BC%D0%B5%D1%80%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F_%D0%BD%D0%BE%D1%87%D1%8C"
Резня на острове зомби,Фильм ужасов,1984,США,Джон Картер,3.3,https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B7%D0%BD%D1%8F_%D0%BD%D0%B0_%D0%BE%D1%81%D1%82%D1%80%D0%BE%D0%B2%D0%B5_%D0%B7%D0%BE%D0%BC%D0%B1%D0%B8
Расчленитель,ужасы,1984,,Бадди Купер,5.2,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%87%D0%BB%D0%B5%D0%BD%D0%B8%D1%82%D0%B5%D0%BB%D1%8C_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
"Пятница, 13-е — Часть 4: Последняя глава",слэшер,2009,США,Джозеф Зито,6.0,"https://ru.wikipedia.org/wiki/%D0%9F%D1%8F%D1%82%D0%BD%D0%B8%D1%86%D0%B0,_13-%D0%B5_%E2%80%94_%D0%A7%D0%B0%D1%81%D1%82%D1%8C_4:_%D0%9F%D0%BE%D1%81%D0%BB%D0%B5%D0%B4%D0%BD%D1%8F%D1%8F_%D0%B3%D0%BB%D0%B0%D0%B2%D0%B0"
Ниндзя 3: Дух ниндзя,"боевик, ,фильм ужасов",1984,США,Сэм Ферстенберг,5.4,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BD%D0%B4%D0%B7%D1%8F_3:_%D0%94%D1%83%D1%85_%D0%BD%D0%B8%D0%BD%D0%B4%D0%B7%D1%8F
Лилиан — извращённая девственница,"фильм ужасов,порнография",1984,Испания,Хесус Франко,4.7,https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D0%BB%D0%B8%D0%B0%D0%BD_%E2%80%94_%D0%B8%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D1%91%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B4%D0%B5%D0%B2%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%B8%D1%86%D0%B0
Ночь кометы,"комедия, ,фильм ужасов, ,фантастика, ,триллер",1984,США,Том Эберхардт,6.3,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%87%D1%8C_%D0%BA%D0%BE%D0%BC%D0%B5%D1%82%D1%8B
Манхэттенские крысы,"фильм ужасов,фантастика",1984,Италия,Бруно Маттеи,4.7,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D1%85%D1%8D%D1%82%D1%82%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D0%BA%D1%80%D1%8B%D1%81%D1%8B
Морской змей,"фантастика,приключенческий фильм,фильм ужасов",1984,Испания,Амандо де Оссорио,3.6,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D1%81%D0%BA%D0%BE%D0%B9_%D0%B7%D0%BC%D0%B5%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
